2.59	5.71	88.57
7.03	6.06	96.97
7.48	9.09	100.00
1.02	9.38	93.75
1.82	50.00	50.00
1.13	8.33	100.00
3.80	6.78	84.75
3.41	20.00	50.00
6.94	6.67	80.00
1.62	6.67	73.33
8.21	7.69	93.41
0.97	7.14	100.00
2.34	8.04	86.93
7.87	9.52	97.62
8.32	10.00	90.00
4.55	13.41	92.68
4.76	12.61	87.39
4.71	0.00	100.00
5.11	0.00	100.00
3.53	50.00	100.00
5.44	21.05	100.00
1.98	10.42	89.96
6.50	16.67	100.00
4.94	7.07	84.85
3.61	6.25	87.50
1.12	13.64	97.73
1.99	8.97	92.31
6.67	22.22	94.44
5.33	11.76	100.00
0.06	6.38	85.11
2.72	9.52	90.48
6.60	0.00	83.33
6.52	4.76	95.24
6.06	5.41	81.08
3.34	12.24	93.88
0.17	50.00	100.00
3.95	6.33	92.41
1.18	9.88	88.89
8.55	7.39	86.09
7.57	11.54	96.15
7.19	8.33	91.67
1.63	50.00	100.00
7.70	0.00	100.00
0.09	25.00	100.00
1.48	13.16	92.11
3.27	26.67	86.67
1.17	7.87	88.76
2.79	5.26	84.21
7.94	37.50	87.50
3.96	26.09	95.65
8.61	20.00	90.00
6.82	5.13	84.62
4.78	0.00	0.00
5.14	12.50	93.75
5.18	13.04	91.30
3.74	12.50	100.00
0.65	0.00	100.00
6.04	6.45	90.32
1.69	10.71	92.86
3.17	5.00	100.00
7.85	11.76	100.00
5.17	5.56	91.67
8.78	33.33	100.00
3.71	8.33	82.29
8.70	20.00	100.00
3.95	10.87	84.78
8.53	4.65	81.40
0.28	16.67	100.00
0.26	0.00	0.00
0.92	13.04	95.65
2.46	6.76	82.43
6.22	0.00	80.00
4.79	7.78	91.83
8.01	12.50	95.83
6.77	0.00	88.89
1.23	6.32	90.53
5.72	11.66	78.53
6.68	11.32	96.23
0.33	11.76	94.12
2.01	5.88	100.00
3.65	5.13	84.62
3.43	5.38	90.32
5.45	4.17	87.50
7.92	50.00	100.00
2.79	0.00	84.62
2.32	25.00	100.00
4.58	8.96	84.33
8.29	6.25	93.75
5.31	6.62	91.18
2.72	8.11	78.38
6.67	8.20	85.25
0.38	15.38	88.46
2.31	10.17	93.22
3.67	0.00	83.33
3.11	4.55	85.35
2.26	6.06	84.85
4.79	0.00	0.00
2.12	0.00	100.00
1.29	14.81	94.44
3.12	13.04	91.30
5.95	5.88	70.59
0.13	14.29	100.00
5.72	6.67	90.00
7.02	4.41	83.82
5.29	27.27	90.91
6.49	0.00	100.00
8.61	14.29	85.71
0.28	11.49	89.86
1.51	13.08	88.79
8.67	11.96	90.22
4.06	8.70	93.48
8.12	10.81	97.30
0.09	12.50	100.00
0.92	6.67	100.00
3.64	8.22	95.89
8.98	12.50	100.00
5.26	7.35	91.43
1.59	11.54	92.31
4.71	10.00	90.00
3.76	9.09	100.00
8.17	7.69	92.31
6.07	12.24	85.71
5.24	0.00	100.00
2.75	8.93	96.43
4.33	11.76	91.18
7.57	22.22	77.78
6.57	14.29	80.00
0.83	7.69	92.31
6.46	5.26	83.16
2.45	33.33	77.78
8.05	10.00	90.00
1.70	7.37	86.32
0.26	11.90	66.67
0.82	0.00	0.00
5.99	5.26	94.30
0.90	7.30	92.70
0.92	23.81	100.00
5.87	5.88	94.12
0.94	23.53	94.12
0.48	10.08	92.34
8.64	7.14	85.71
4.33	20.00	100.00
8.14	12.50	93.75
1.26	9.52	95.24
5.10	11.11	94.44
3.94	0.00	88.89
1.38	10.00	95.00
0.38	0.00	100.00
3.11	0.00	50.00
4.99	20.00	100.00
0.86	7.23	92.77
1.05	14.29	77.14
4.95	11.11	88.89
4.27	0.00	100.00
7.76	11.11	88.89
4.68	10.91	83.64
5.70	9.09	68.18
3.24	0.00	66.67
3.07	12.50	87.50
2.07	0.00	100.00
1.71	17.24	89.66
1.40	14.00	91.60
7.27	9.09	90.91
2.97	12.20	87.20
1.41	10.00	90.00
6.61	15.79	73.68
5.04	20.00	80.00
0.51	20.00	80.00
4.70	5.88	94.12
1.11	5.21	92.71
3.71	28.57	64.29
6.74	10.71	96.43
4.66	10.45	98.51
5.41	10.87	93.48
5.13	14.71	100.00
5.30	19.05	85.71
4.97	11.11	77.78
0.07	6.85	91.78
5.04	13.33	86.67
0.81	12.82	82.05
0.25	0.00	100.00
8.66	14.29	78.57
3.86	17.07	92.68
3.86	0.00	100.00
2.50	15.38	69.23
8.46	7.14	92.86
4.47	19.05	100.00
6.97	8.33	83.33
3.56	9.09	92.73
5.04	16.67	83.33
0.28	9.09	95.45
8.49	0.00	71.43
8.02	10.81	86.49
8.03	10.26	87.18
5.71	23.08	88.46
4.05	7.14	78.57
3.58	14.81	92.59
3.53	5.88	94.12
6.91	20.00	70.00
1.78	50.00	100.00
2.13	33.33	91.67
6.91	22.73	95.45
0.46	0.00	100.00
0.29	33.33	100.00
5.29	6.11	93.33
0.16	3.57	89.29
2.14	9.49	89.05
6.00	12.50	87.50
7.14	4.35	95.65
2.99	11.76	94.12
3.90	16.67	100.00
5.21	7.69	92.31
5.63	0.00	84.62
4.80	10.24	92.91
4.00	0.00	93.33
6.09	0.00	100.00
3.51	8.70	95.65
1.64	15.00	87.50
7.91	0.00	91.67
2.17	28.57	100.00
2.58	13.64	83.33
4.08	9.09	90.91
3.44	13.33	90.00
6.10	9.00	93.00
2.76	12.50	95.83
3.75	11.54	93.59
2.49	0.00	85.71
3.68	11.04	80.37
1.11	7.41	96.30
0.40	11.97	91.45
7.48	8.91	94.06
2.55	21.21	87.88
2.35	20.00	100.00
0.47	6.67	86.67
3.58	8.33	66.67
8.23	16.67	79.17
4.34	37.50	87.50
4.75	13.79	75.86
1.80	30.00	90.00
0.12	11.57	83.47
5.80	0.00	100.00
4.09	10.20	87.76
7.69	16.67	83.33
1.40	1.61	82.26
4.08	33.33	80.95
7.25	11.76	100.00
0.64	13.93	90.98
1.60	10.17	84.75
6.73	0.00	90.00
2.04	16.67	83.33
7.51	5.41	86.49
3.75	25.00	87.50
2.47	20.69	86.21
1.10	0.00	0.00
4.88	12.50	62.50
6.89	20.00	80.00
7.12	11.11	77.78
1.20	40.00	100.00
4.09	8.77	89.47
3.93	20.00	100.00
8.32	7.32	92.68
3.51	11.76	94.12
6.21	50.00	100.00
6.65	0.00	75.00
7.21	5.88	90.20
4.51	14.04	94.74
0.13	20.00	93.33
8.54	8.00	96.00
7.32	20.00	100.00
6.95	18.18	90.91
3.47	0.00	84.38
4.86	10.00	80.00
3.78	21.43	92.86
6.00	0.00	87.50
1.71	12.12	90.91
3.12	13.04	91.30
4.76	33.33	100.00
6.92	20.59	91.18
0.12	3.64	96.36
8.19	5.00	100.00
0.75	11.11	100.00
2.11	12.07	87.93
3.82	14.29	80.95
4.06	7.32	93.90
8.64	18.18	90.91
3.69	15.63	78.13
8.48	3.85	94.23
2.99	3.57	83.93
4.62	8.70	86.96
7.57	18.18	90.91
4.57	20.00	100.00
7.22	0.00	71.43
1.34	8.37	85.22
4.46	4.35	100.00
7.08	12.90	87.10
0.16	33.33	66.67
4.90	9.09	72.73
1.47	25.00	75.00
8.28	9.13	87.67
8.42	50.00	100.00
0.40	8.33	75.00
4.35	6.90	93.10
8.24	0.00	75.00
5.47	12.50	75.00
5.64	50.00	100.00
2.68	16.67	83.33
0.29	12.00	82.00
8.78	0.00	50.00
8.51	10.53	78.95
2.15	0.00	100.00
4.39	14.29	96.43
7.83	6.67	93.33
2.95	0.00	100.00
2.44	6.52	82.61
6.80	5.63	92.96
2.41	7.14	100.00
0.68	11.94	88.06
7.91	0.00	94.74
5.04	7.69	100.00
8.49	9.09	90.91
0.13	6.96	88.64
4.28	6.90	93.10
2.85	50.00	100.00
5.94	9.92	74.05
0.21	25.00	100.00
5.24	16.67	100.00
1.27	5.88	94.12
0.31	8.22	82.19
7.76	10.97	80.00
6.76	10.00	100.00
2.82	14.29	92.86
5.32	8.44	90.26
5.65	7.14	91.07
5.86	12.24	89.80
6.91	15.38	92.31
0.55	11.11	88.89
4.93	12.90	87.10
5.78	6.45	93.55
7.16	9.09	95.45
4.51	10.53	94.74
2.29	0.00	85.71
2.85	15.38	92.31
3.86	28.57	85.71
6.52	16.98	96.23
7.31	14.04	87.72
1.98	7.69	84.62
6.05	0.00	100.00
5.27	10.34	93.10
6.96	14.29	100.00
1.46	33.33	66.67
5.08	13.33	86.67
6.65	0.00	0.00
6.36	14.29	85.71
6.48	16.67	100.00
8.21	17.39	100.00
3.69	9.20	89.66
0.64	12.15	91.59
8.19	6.25	83.33
0.13	6.58	92.11
3.10	9.09	90.91
8.79	13.04	82.61
6.93	0.00	73.33
1.54	25.00	100.00
4.96	6.12	91.84
1.53	10.71	96.43
2.56	8.70	100.00
1.66	18.18	77.27
5.53	11.11	77.78
1.46	3.33	90.00
3.12	11.76	95.59
5.21	5.56	88.89
5.52	42.86	71.43
1.87	4.26	91.49
5.09	18.75	100.00
7.27	13.33	80.00
7.47	5.56	88.89
3.11	8.82	67.65
5.42	12.50	87.50
8.23	0.00	50.00
6.61	11.11	100.00
0.65	7.89	92.11
5.61	8.70	91.30
0.90	20.00	80.00
7.42	6.37	87.90
6.09	9.09	100.00
4.78	20.00	100.00
2.26	4.35	91.30
0.04	12.71	89.83
4.36	8.28	89.66
7.37	6.25	100.00
4.47	0.00	80.00
2.91	13.51	48.65
0.19	12.50	100.00
0.54	14.06	71.88
5.52	8.51	93.62
0.49	60.00	100.00
8.72	0.00	100.00
4.73	25.00	90.00
0.10	28.57	71.43
3.05	6.67	93.33
1.03	18.75	93.75
2.32	3.03	90.91
2.02	20.00	90.00
5.61	7.97	91.30
0.85	17.86	85.71
5.71	10.00	60.00
5.86	33.33	100.00
7.54	20.00	100.00
6.40	0.00	100.00
4.95	5.88	97.06
6.51	0.00	87.50
8.10	12.28	87.72
0.46	14.29	85.71
4.23	9.09	63.64
0.87	0.00	100.00
4.86	12.25	88.14
3.82	18.18	100.00
7.80	33.33	100.00
0.83	18.75	81.25
6.79	14.29	85.71
0.90	0.00	92.31
5.89	33.33	100.00
2.49	16.67	100.00
2.91	13.46	92.31
1.83	8.11	94.59
3.10	16.67	88.89
4.80	14.89	91.49
1.55	6.67	80.00
7.58	11.76	88.24
1.07	7.14	78.57
1.78	5.13	97.44
1.10	13.56	88.14
2.95	23.81	85.71
3.23	9.38	87.50
4.03	6.67	93.33
6.47	6.67	100.00
6.97	5.26	73.68
6.13	50.00	100.00
1.72	20.00	84.00
0.57	14.29	100.00
0.64	15.38	88.46
8.06	22.22	88.89
7.07	9.43	92.45
6.52	15.38	80.77
7.36	10.53	94.74
1.84	33.33	100.00
5.30	0.00	80.00
6.10	0.00	80.00
7.90	12.50	100.00
5.95	19.05	80.95
2.72	6.67	80.00
3.92	6.45	87.10
3.52	13.33	96.67
0.17	33.33	100.00
8.13	10.87	97.83
3.77	0.00	100.00
2.30	14.29	85.71
2.92	0.00	75.00
3.59	3.23	93.55
4.48	30.00	100.00
6.91	12.50	83.33
6.71	29.03	90.32
2.46	11.11	83.33
8.57	15.38	92.31
3.74	4.35	82.61
6.36	18.18	100.00
4.94	12.50	90.63
6.55	5.77	88.46
8.74	5.13	79.49
7.71	7.55	88.68
4.83	5.26	89.47
4.78	25.00	75.00
1.45	13.64	90.91
5.60	20.00	90.00
3.15	16.28	86.05
3.54	10.34	87.59
1.97	21.88	96.88
4.69	4.76	85.71
3.68	50.00	100.00
2.63	6.25	100.00
4.86	8.82	94.12
5.02	25.00	100.00
6.34	12.50	95.83
7.16	0.00	0.00
