2.59	2.00	88.57
7.03	2.00	96.97
7.48	1.00	100.00
1.02	3.00	93.75
1.82	3.00	50.00
1.13	1.00	100.00
3.80	8.00	84.75
3.41	2.00	50.00
6.94	1.00	80.00
1.62	2.00	73.33
8.21	7.00	93.41
0.97	1.00	100.00
2.34	16.00	86.93
7.87	4.00	97.62
8.32	2.00	90.00
4.55	11.00	92.68
4.76	15.00	87.39
4.71	0.00	100.00
5.11	0.00	100.00
3.53	1.00	100.00
5.44	4.00	100.00
1.98	27.00	89.96
6.50	1.00	100.00
4.94	7.00	84.85
3.61	2.00	87.50
1.12	6.00	97.73
1.99	14.00	92.31
6.67	4.00	94.44
5.33	2.00	100.00
0.06	3.00	85.11
2.72	2.00	90.48
6.60	0.00	83.33
6.52	1.00	95.24
6.06	2.00	81.08
3.34	6.00	93.88
0.17	1.00	100.00
3.95	5.00	92.41
1.18	16.00	88.89
8.55	17.00	86.09
7.57	6.00	96.15
7.19	1.00	91.67
1.63	1.00	100.00
7.70	0.00	100.00
0.09	1.00	100.00
1.48	10.00	92.11
3.27	4.00	86.67
1.17	7.00	88.76
2.79	2.00	84.21
7.94	3.00	87.50
3.96	6.00	95.65
8.61	2.00	90.00
6.82	2.00	84.62
4.78	0.00	0.00
5.14	4.00	93.75
5.18	6.00	91.30
3.74	2.00	100.00
0.65	0.00	100.00
6.04	2.00	90.32
1.69	3.00	92.86
3.17	1.00	100.00
7.85	2.00	100.00
5.17	2.00	91.67
8.78	1.00	100.00
3.71	8.00	82.29
8.70	2.00	100.00
3.95	5.00	84.78
8.53	2.00	81.40
0.28	1.00	100.00
0.26	0.00	0.00
0.92	3.00	95.65
2.46	5.00	82.43
6.22	0.00	80.00
4.79	20.00	91.83
8.01	3.00	95.83
6.77	0.00	88.89
1.23	6.00	90.53
5.72	19.00	78.53
6.68	6.00	96.23
0.33	2.00	94.12
2.01	1.00	100.00
3.65	2.00	84.62
3.43	5.00	90.32
5.45	1.00	87.50
7.92	1.00	100.00
2.79	0.00	84.62
2.32	1.00	100.00
4.58	12.00	84.33
8.29	1.00	93.75
5.31	9.00	91.18
2.72	3.00	78.38
6.67	5.00	85.25
0.38	4.00	88.46
2.31	6.00	93.22
3.67	0.00	83.33
3.11	9.00	85.35
2.26	2.00	84.85
4.79	0.00	0.00
2.12	0.00	100.00
1.29	8.00	94.44
3.12	3.00	91.30
5.95	1.00	70.59
0.13	2.00	100.00
5.72	2.00	90.00
7.02	3.00	83.82
5.29	3.00	90.91
6.49	0.00	100.00
8.61	6.00	85.71
0.28	17.00	89.86
1.51	14.00	88.79
8.67	11.00	90.22
4.06	4.00	93.48
8.12	4.00	97.30
0.09	1.00	100.00
0.92	1.00	100.00
3.64	6.00	95.89
8.98	1.00	100.00
5.26	18.00	91.43
1.59	3.00	92.31
4.71	1.00	90.00
3.76	4.00	100.00
8.17	3.00	92.31
6.07	6.00	85.71
5.24	0.00	100.00
2.75	5.00	96.43
4.33	4.00	91.18
7.57	4.00	77.78
6.57	5.00	80.00
0.83	1.00	92.31
6.46	5.00	83.16
2.45	3.00	77.78
8.05	1.00	90.00
1.70	7.00	86.32
0.26	5.00	66.67
0.82	0.00	0.00
5.99	12.00	94.30
0.90	20.00	92.70
0.92	5.00	100.00
5.87	1.00	94.12
0.94	4.00	94.12
