1	1	84.61539
1	1	91.6
1	0	93.478264
1	0	100
1	0	77.77778
1	0	82.051285
1	0	92.68293
1	2	92.72727
1	0	83.33333
1	1	93.333336
1	1	89.051094
1	0	92.30769
1	0	91.452995
1	2	94.05941
1	0	90.983604
1	0	84.745766
1	1	90
1	1	86.206894
1	0	100
1	0	96
1	0	100
1	1	93.61702
1	0	100
1	0	83.33333
1	0	100
1	0	84.61539
1	0	94.117645
1	1	85.92593
1	0	91.78082
1	0	25
1	0	94.59459
1	0	93.10345
1	0	69.230774
1	0	94.50549
1	1	94.44444
1	1	94.230774
1	0	90.909096
1	0	0
1	1	83.809525
1	0	97.560974
1	0	100
1	0	50
1	0	100
1	0	100
1	0	100
1	0	85.71429
1	0	82.35294
1	0	100
1	0	86.79245
1	0	96.61017
1	0	100
1	0	94.59459
1	0	75.55556
1	0	91.228065
1	0	94.308945
1	0	76.59575
1	1	89.28571
1	0	82.03125
1	0	86.86868
1	0	80.434784
1	0	88.8
1	0	90.909096
1	1	88.31169
1	0	97.560974
1	0	93.93939
1	0	91.42857
1	0	86.11111
1	0	87.17949
1	0	94.871796
1	0	93.43066
1	0	86.17021
