2.00	88.57
2.00	96.97
1.00	100.00
3.00	93.75
3.00	50.00
1.00	100.00
8.00	84.75
2.00	50.00
1.00	80.00
2.00	73.33
7.00	93.41
1.00	100.00
16.00	86.93
4.00	97.62
2.00	90.00
11.00	92.68
15.00	87.39
0.00	100.00
0.00	100.00
1.00	100.00
4.00	100.00
27.00	89.96
1.00	100.00
7.00	84.85
2.00	87.50
6.00	97.73
14.00	92.31
4.00	94.44
2.00	100.00
3.00	85.11
2.00	90.48
0.00	83.33
1.00	95.24
2.00	81.08
6.00	93.88
1.00	100.00
5.00	92.41
16.00	88.89
17.00	86.09
6.00	96.15
1.00	91.67
1.00	100.00
0.00	100.00
1.00	100.00
10.00	92.11
4.00	86.67
7.00	88.76
2.00	84.21
3.00	87.50
6.00	95.65
2.00	90.00
2.00	84.62
0.00	0.00
4.00	93.75
6.00	91.30
2.00	100.00
0.00	100.00
2.00	90.32
3.00	92.86
1.00	100.00
2.00	100.00
2.00	91.67
1.00	100.00
8.00	82.29
2.00	100.00
5.00	84.78
2.00	81.40
1.00	100.00
0.00	0.00
3.00	95.65
5.00	82.43
0.00	80.00
20.00	91.83
3.00	95.83
0.00	88.89
6.00	90.53
19.00	78.53
6.00	96.23
2.00	94.12
1.00	100.00
2.00	84.62
5.00	90.32
1.00	87.50
1.00	100.00
0.00	84.62
1.00	100.00
12.00	84.33
1.00	93.75
9.00	91.18
3.00	78.38
5.00	85.25
4.00	88.46
6.00	93.22
0.00	83.33
9.00	85.35
2.00	84.85
0.00	0.00
0.00	100.00
8.00	94.44
3.00	91.30
1.00	70.59
2.00	100.00
2.00	90.00
3.00	83.82
3.00	90.91
0.00	100.00
6.00	85.71
17.00	89.86
14.00	88.79
11.00	90.22
4.00	93.48
4.00	97.30
1.00	100.00
1.00	100.00
6.00	95.89
1.00	100.00
18.00	91.43
3.00	92.31
1.00	90.00
4.00	100.00
3.00	92.31
6.00	85.71
0.00	100.00
5.00	96.43
4.00	91.18
4.00	77.78
5.00	80.00
1.00	92.31
5.00	83.16
3.00	77.78
1.00	90.00
7.00	86.32
5.00	66.67
0.00	0.00
12.00	94.30
20.00	92.70
5.00	100.00
1.00	94.12
4.00	94.12
25.00	92.34
2.00	85.71
2.00	100.00
2.00	93.75
4.00	95.24
2.00	94.44
0.00	88.89
2.00	95.00
0.00	100.00
0.00	50.00
2.00	100.00
6.00	92.77
5.00	77.14
1.00	88.89
0.00	100.00
3.00	88.89
6.00	83.64
2.00	68.18
0.00	66.67
1.00	87.50
0.00	100.00
5.00	89.66
35.00	91.60
1.00	90.91
20.00	87.20
2.00	90.00
3.00	73.68
2.00	80.00
1.00	80.00
1.00	94.12
5.00	92.71
4.00	64.29
3.00	96.43
7.00	98.51
5.00	93.48
5.00	100.00
4.00	85.71
1.00	77.78
10.00	91.78
2.00	86.67
5.00	82.05
0.00	100.00
2.00	78.57
7.00	92.68
0.00	100.00
2.00	69.23
1.00	92.86
4.00	100.00
4.00	83.33
5.00	92.73
1.00	83.33
2.00	95.45
0.00	71.43
4.00	86.49
4.00	87.18
6.00	88.46
2.00	78.57
4.00	92.59
1.00	94.12
2.00	70.00
1.00	100.00
4.00	91.67
5.00	95.45
0.00	100.00
1.00	100.00
11.00	93.33
1.00	89.29
13.00	89.05
1.00	87.50
1.00	95.65
2.00	94.12
1.00	100.00
1.00	92.31
0.00	84.62
13.00	92.91
0.00	93.33
0.00	100.00
2.00	95.65
6.00	87.50
0.00	91.67
2.00	100.00
9.00	83.33
1.00	90.91
4.00	90.00
9.00	93.00
3.00	95.83
9.00	93.59
0.00	85.71
18.00	80.37
2.00	96.30
14.00	91.45
9.00	94.06
7.00	87.88
3.00	100.00
1.00	86.67
1.00	66.67
4.00	79.17
3.00	87.50
4.00	75.86
3.00	90.00
14.00	83.47
0.00	100.00
5.00	87.76
1.00	83.33
1.00	82.26
7.00	80.95
2.00	100.00
17.00	90.98
6.00	84.75
0.00	90.00
1.00	83.33
2.00	86.49
2.00	87.50
6.00	86.21
0.00	0.00
1.00	62.50
3.00	80.00
1.00	77.78
2.00	100.00
5.00	89.47
3.00	100.00
3.00	92.68
2.00	94.12
1.00	100.00
0.00	75.00
3.00	90.20
8.00	94.74
3.00	93.33
2.00	96.00
1.00	100.00
2.00	90.91
0.00	84.38
1.00	80.00
3.00	92.86
0.00	87.50
4.00	90.91
3.00	91.30
2.00	100.00
7.00	91.18
2.00	96.36
1.00	100.00
2.00	100.00
14.00	87.93
3.00	80.95
6.00	93.90
4.00	90.91
5.00	78.13
2.00	94.23
2.00	83.93
2.00	86.96
4.00	90.91
3.00	100.00
0.00	71.43
17.00	85.22
1.00	100.00
4.00	87.10
1.00	66.67
1.00	72.73
1.00	75.00
20.00	87.67
1.00	100.00
1.00	75.00
2.00	93.10
0.00	75.00
1.00	75.00
1.00	100.00
1.00	83.33
6.00	82.00
0.00	50.00
2.00	78.95
0.00	100.00
4.00	96.43
1.00	93.33
0.00	100.00
3.00	82.61
4.00	92.96
1.00	100.00
8.00	88.06
