1036,5,0,100.0,SF
1037,1,1,100.0,BM
1038,1,2,100.0,BM
1039,4,5,91.82879638671875,PL
1041,1,1,85.85858154296875,SF
1042,5,2,96.875,BM
1043,3,3,100.0,PL
1044,1,3,94.87179565429688,BM
1045,4,1,94.44444274902344,BM
1046,1,2,100.0,BM
1047,4,0,85.10638427734375,SF
1048,2,1,95.23809814453125,BM
1049,1,1,100.0,BM
1050,1,0,95.23809814453125,SF
1051,5,0,80.55555725097656,SF
1052,1,4,95.91836547851562,PL
1053,5,0,100.0,SF
1054,1,1,92.40505981445312,BM
1055,2,5,93.82715606689453,PL
1056,1,3,88.69564819335938,BM
1058,5,1,100.0,BM
1059,1,5,92.10526275634766,PL
1060,1,1,86.66666412353516,SF
1062,1,1,89.47368621826172,BM
1063,3,2,87.5,BM
1064,5,2,95.65217590332031,BM
1065,1,0,90.0,SF
1066,1,0,84.61538696289062,SF
1067,1,0,0.0,IF
1068,1,0,90.0,SF
1069,1,0,84.61538696289062,SF
1070,2,0,0.0,IF
1072,2,1,93.47826385498047,BM
1073,1,0,100.0,SF
1074,1,0,100.0,SF
1075,1,2,92.85713958740234,BM
1076,2,1,100.0,BM
1077,2,0,100.0,SF
1078,2,0,100.0,SF
1079,1,0,91.42857360839844,SF
1080,2,1,100.0,BM
1081,1,5,87.5,PL
1082,1,1,100.0,BM
1085,1,1,100.0,BM
1086,5,0,0.0,IF
1087,1,1,100.0,BM
1088,1,2,90.54054260253906,BM
1089,1,0,86.66666412353516,SF
1090,1,6,91.796875,PL
1091,1,2,95.83332824707031,BM
1092,1,0,88.8888931274414,SF
1093,1,2,90.42552947998047,BM
1094,1,6,82.80254364013672,PL
1095,1,3,98.11321258544922,BM
1096,3,0,94.11764526367188,SF
1097,1,0,100.0,SF
1099,4,2,93.47826385498047,BM
1100,1,0,87.5,SF
1101,1,0,100.0,SF
1102,1,0,91.66667175292969,SF
1103,5,0,100.0,SF
1104,1,2,85.07463073730469,BM
1105,1,1,93.75,BM
1106,1,5,93.38235473632812,PL
1107,1,0,78.37837982177734,IF
1108,1,2,86.88524627685547,BM
1109,5,2,87.5,BM
1110,5,1,98.30508422851562,BM
1111,1,0,100.0,SF
1113,1,0,87.5,SF
1116,1,1,94.44444274902344,BM
1117,1,1,95.65217590332031,BM
1119,1,1,100.0,BM
1120,2,0,96.66666412353516,SF
1121,1,0,91.0447769165039,SF
1122,2,0,90.90909576416016,SF
1123,1,0,100.0,SF
1124,3,3,85.71428680419922,BM
1125,1,6,92.4137954711914,PL
1126,1,5,92.38095092773438,PL
1128,2,2,97.82608795166016,BM
1129,2,2,97.29730224609375,BM
1130,5,2,100.0,BM
1131,1,1,100.0,BM
1132,1,2,95.89041137695312,BM
1133,1,0,100.0,SF
